#mH    mA      mC       tb     cba       m122    wh          wH         wA          wC           N    SigmaxBR[fb]     DIRECTORY
475.09  766.2776  766.2776  1.5  0  104174.08066153848  0.00435068674  4.82527242  46.0347983  45.6889658  2  0.054826699569539554  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_475.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_104174.08066153848
525.09  766.2776  766.2776  1.5  0  127255.1575846154  0.00435078634  6.64787307  34.1211927  33.6575438  2  0.0345981787305765  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_525.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_127255.1575846154
575.09  766.2776  766.2776  1.5  0  152643.92681538465  0.00435089634  8.34503947  25.06124  24.4346349  2  0.019350728572034192  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_575.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_152643.92681538465
625.09  766.2776  766.2776  1.5  0  180340.38835384618  0.00435101687  9.93101668  19.210426  18.3523242  2  0.00670558719140323  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_625.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_180340.38835384618
675.09  766.2776  766.2776  1.5  0  210344.54220000003  0.00435114807  11.4228795  16.77555  15.4687486  2  3.3663115929258556e-05  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_675.09_mA_766.2776_mC_766.2776_tb_1.5_cba_0_m122_210344.54220000003
125.09  816.2776  816.2776  1.5  0  7221.926815384616  0.00435027128  0.00679846741  177.468586  177.392476  2  12.737603391321596  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_816.2776_mC_816.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  816.2776  816.2776  1.5  0  14149.157584615386  0.00435029714  0.0092085955  166.243046  166.163756  2  12.282714274627557  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_816.2776_mC_816.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  816.2776  816.2776  1.5  0  23384.08066153846  0.00435033166  0.011739868  152.092805  152.006807  2  11.676601482895917  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_816.2776_mC_816.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  816.2776  816.2776  1.5  0  34926.696046153855  0.00435037488  0.0146252082  135.675269  135.576898  2  10.859786746919632  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_816.2776_mC_816.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  816.2776  816.2776  1.5  0  48777.00373846155  0.00435042683  0.019901618  117.761257  117.642144  2  8.939455345780111  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_816.2776_mC_816.2776_tb_1.5_cba_0_m122_48777.00373846155
375.09  816.2776  816.2776  1.5  0  64935.00373846156  0.00435048758  0.931634872  99.2011333  99.0496067  2  0.2076337407794514  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_375.09_mA_816.2776_mC_816.2776_tb_1.5_cba_0_m122_64935.00373846156
425.09  816.2776  816.2776  1.5  0  83400.69604615387  0.00435055718  2.88380354  80.8842339  80.6846514  2  0.07068293867045333  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_425.09_mA_816.2776_mC_816.2776_tb_1.5_cba_0_m122_83400.69604615387
475.09  816.2776  816.2776  1.5  0  104174.08066153848  0.00435063571  4.82527242  63.691642  63.4235994  2  0.04277841554129025  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_475.09_mA_816.2776_mC_816.2776_tb_1.5_cba_0_m122_104174.08066153848
